enum	string
LOC_SECT_NAME_1	无门无派
LOC_SECT_NAME_2	少林
LOC_SECT_NAME_3	武当
LOC_SECT_NAME_4	峨嵋
LOC_SECT_NAME_5	丐帮
LOC_SECT_NAME_6	唐门
LOC_SECT_NAME_7	天波府
LOC_SECT_NAME_8	五毒教
LOC_SECT_NAME_9	翠烟门
LOC_SECT_NAME_10	昆仑派
LOC_SECT_NAME_11	明教
LOC_K_WORLD	世界
LOC_K_CITY	城市
LOC_K_TEAM	队伍
LOC_K_NEARBY	附近
LOC_K_FN_NONE	无门派
LOC_K_FN_SHAOLIN	少林
LOC_K_FN_WUDAN	武当
LOC_K_FN_EMEI	峨嵋
LOC_K_FN_GAIBANG	丐帮
LOC_K_FN_TANGMEN	唐门
LOC_K_FN_WUDU	五毒
LOC_K_FN_CUIYAN	翠烟
LOC_K_FN_KUNLUN	昆仑
LOC_K_FN_TIANBO	天波
LOC_K_FN_MINGJIAO	明教
LOC_K_MATE_GROUP_NAME	配偶\n
LOC_K_INFO_BULLETIN	公告
LOC_K_INFO_SYSTEM	系统
LOC_K_PR_FRIEND	
LOC_K_PR_BROTHER	亲人\n
LOC_K_PR_MATE	配偶\n
LOC_K_PR_ENEMY	仇人\n
LOC_U_RELAY	Relay
LOC_U_ERROR_ON_SHUTDOWN	Relay关闭时出错。
LOC_U_LOAD_AUCTION_FILE_FAIL	读取拍卖模块配置文件失败！
LOC_U_INIT_AUCTION_DATA_FAIL	初始化追杀数据失败
LOC_U_FAIL_TO_OPEN_AUCTION_DB	打开拍卖数据库失败
LOC_U_FAIL_TO_OPEN_KILLER_DB	打开追杀任务数据库失败
LOC_U_ERR_IN_KILLDATA_FORMATTODATA	程序存在隐患,报告程序员, in KKillerData::FormatToData
LOC_U_RELAY_ALREADY_RUN	已有S3Relay尚在运行中。
LOC_U_RELAYGUARD_ALREADY_RUN	检测到有RelayGuard正在运行，同时启动Relay是危险的！\n所以偶不想让Relay现在就运行！
LOC_G_AUCTIONSUCCESS	%s以%d的最高价买走物品, 拍卖结束
LOC_G_AUCTIONSUCCESSTOWINNER	恭喜成功竞买该物品
LOC_G_AUCTIONSUCCESSTOOWNER	%s以%d的最高价买走物品, 请在指定时间内领钱
LOC_G_AUCTIONSUCCESSTAKEMOENYFAIL	您没有及时领钱, 系统丢弃
LOC_G_AUCTIONSUCCESSTAKEITEMFAIL	您没有及时领取物品, 系统丢弃
LOC_G_AUCTIONCHEATER	%s在拍卖过程通过转移物品作弊, 是个骗子
LOC_G_AUCTIONFAILCONTINUE	您的物品这次拍卖失败, 已经入下一轮拍卖, %d小时%d分钟%d秒后开始
LOC_G_AUCTIONFAIL	您的物品拍卖失败, 请领取物品
LOC_G_AUCTIONJOINFAIL	该物品竞买人已达上限, 您加入失败
LOC_G_AUCTIONJOINFAILNOMONEY	目前物品最高价为 %d, 您身上的钱不够, 无法加入竞买
LOC_G_AUCTIONJOINSUCCESS	你加入的竞买
LOC_G_AUCTIONJOINSUCCESSTOALL	%s加入该物品竞买队列
LOC_G_AUCTIONBIDDERHIGHEST	目前出价最高者是%s, 出价为%d两银子
LOC_G_AUCATIONQUITFAIL	您是出价最高, 不能推出拍卖
LOC_G_AUCATIONQUITSUCCESS	%s退出了拍卖
LOC_G_AUCTIONSUCESSGETMONEY	您领取拍卖物品的钱, 税后是%d两银子
LOC_G_AUCTIONFAILGETITEM	您领取了拍卖失败的物品
LOC_G_AUCTIONSUBMITSUCCESS	您成功提交了一件拍卖物品, 底价为%d, 加价单位为%d
LOC_G_TASKCOUNTLIMIT	系统任务已满, 创建追杀%s任务失败
LOC_G_CREATETASKCOUNTLIMIT	创建任务数额已满, 创建追杀%s任务失败
LOC_G_TAKETASKLINIT	每个人最多领取%d个任务, 你已经到了最大值
LOC_G_TASKFAILURE	追杀%s的任务已经结束,没有人完成
LOC_G_TASKSUCCESS	追杀%s的任务已经被%s完成
LOC_G_TAKEREWARD	请在%d小时%d分钟%d秒内领取杀死%s任务的赏金,数额%d
LOC_G_TAKEBACKREWARD	请在%d小时%d分钟%d秒内领取未完成通辑%s任务的赏金,数额%d  
LOC_G_TAKETASKSUCCESS	你成功领取了追杀%s的任务
LOC_G_TAKERLIMIT	这个任务的领取者已经达到最大值%d人, 领取失败
LOC_G_TASKNOTEXIST	任务已经不存在
LOC_G_TAKEMONEY	您领取了杀死%s的赏金%d
LOC_G_TAKEBACKMONEY	您领回了悬赏杀死%s的酬金%d
LOC_G_TAKETASKDUP	你已经领取过这个任务, 不能再领取
LOC_G_CREATETASKSUCCESS	你成功创建追杀%s的任务, 酬金为%d两银子
LOC_G_TASKCANCEL	杀死%s的任务被取消
LOC_G_TASKCANNTCANCEL	追杀%s的任务已过取消时间
LOC_G_TASKCANCELGETMONEY	杀死%s的任务已经被被取消, 退回%d两银子
LOC_G_TAKEOWNTASK	不能接受自己创建任务 
LOC_G_TAKEKILLSELF	不能接受追杀自己任务
LOC_G_TASKNOTACTIVE	任务已经不在激活状态, 请涮洗任务
LOC_G_TASKBEDELETED	未在规定时间内对话NPC,追杀%s的任务已经系统清除
